quote,tags,author
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change,deep-thoughts,thinking,world",Albert Einstein
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities,choices",J.K. Rowling
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational,life,live,miracle,miracles",Albert Einstein
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor",Jane Austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself,inspirational",Marilyn Monroe
“Try not to become a man of success. Rather become a man of value.”,"adulthood,success,value",Albert Einstein
“It is better to be hated for what you are than to be loved for what you are not.”,"life,love",André Gide
"“I have not failed. I've just found 10,000 ways that won't work.”","edison,failure,inspirational,paraphrased",Thomas A. Edison
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,Eleanor Roosevelt
"“A day without sunshine is like, you know, night.”","humor,obvious,simile",Steve Martin
